Date,Open,High,Low,Close,Adj Close,Volume
2018-04-03,14.232000,14.512000,14.200000,14.432000,9.623955,15407280
2018-04-04,14.492000,14.606000,14.416000,14.556000,9.706643,17109092
2018-04-05,14.674000,14.886000,14.654000,14.862000,9.910698,21842902
2018-04-06,14.838000,14.968000,14.788000,14.888000,9.928036,16128424
2018-04-09,14.926000,15.000000,14.858000,14.988000,9.994722,14521836
2018-04-10,15.030000,15.134000,14.978000,15.134000,10.092082,16248854
2018-04-11,15.150000,15.318000,15.126000,15.228000,10.154765,20626288
2018-04-12,15.248000,15.434000,15.230000,15.330000,10.222784,18509237
2018-04-13,15.308000,15.434000,15.260000,15.432000,10.290802,14970246
2018-04-16,15.398000,15.528000,15.352000,15.448000,10.301473,14075455
2018-04-17,15.496000,15.688000,15.482000,15.680000,10.456181,19727910
2018-04-18,15.676000,15.796000,15.610000,15.796000,10.533536,16587879
2018-04-19,15.798000,16.000000,15.782000,16.000000,10.669571,18990944
2018-04-20,16.000000,16.108000,15.824000,15.952000,10.637564,19231814
2018-04-23,15.920000,16.087999,15.854000,16.087999,10.728253,11181861
2018-04-24,16.068001,16.180000,15.962000,16.028000,10.688243,17334282
2018-04-25,15.988000,16.011999,15.734000,15.850000,10.569546,17341507
2018-04-26,15.918000,16.170000,15.876000,16.170000,10.782935,14885375
2018-04-27,16.077999,16.158001,15.940000,16.158001,10.774934,17945436
2018-04-30,16.158001,16.200001,16.006001,16.200001,10.802943,13151507
2018-05-02,16.122000,16.336000,16.101999,16.322001,10.884296,16109969
2018-05-03,16.302000,16.350000,16.110001,16.128000,10.754931,13328912
2018-05-04,16.186001,16.350000,16.156000,16.350000,10.902969,10983470
2018-05-07,16.379999,16.664000,16.356001,16.664000,11.112359,15511981
2018-05-08,16.648001,16.650000,16.170000,16.236000,10.826948,21226749
2018-05-09,16.430000,16.700001,16.412001,16.686001,11.127030,20849579
2018-05-10,16.790001,16.799999,16.299999,16.408001,10.941646,16506670
2018-05-11,16.500000,16.586000,16.344000,16.440001,10.962985,11664855
2018-05-14,16.400000,16.676001,16.330000,16.676001,11.120363,12167023
2018-05-15,16.642000,16.889999,16.618000,16.764000,11.179044,16495049
2018-05-16,16.726000,16.750000,16.299999,16.538000,11.028337,20053957
2018-05-17,16.601999,16.799999,16.542000,16.601999,11.071015,21980882
2018-05-18,16.757999,16.757999,16.430000,16.552000,11.037673,26384104
2018-05-21,16.240000,16.309999,15.916000,16.024000,10.950204,17331474
2018-05-22,16.048000,16.194000,15.928000,16.101999,11.003506,13432261
2018-05-23,16.016001,16.048000,15.710000,15.924000,10.881866,18049988
2018-05-24,15.908000,16.106001,15.694000,15.778000,10.782093,14678882
2018-05-25,15.764000,15.838000,15.286000,15.386000,10.514216,18703081
2018-05-28,15.262000,15.490000,14.914000,15.074000,10.301007,15682259
2018-05-29,14.968000,15.334000,14.620000,15.094000,10.314675,25087644
2018-05-30,15.130000,15.490000,15.102000,15.490000,10.585285,16215697
2018-05-31,15.514000,15.728000,15.382000,15.490000,10.585285,16396109
2018-06-01,15.692000,15.950000,15.624000,15.732000,10.750661,13035938
2018-06-04,15.790000,15.858000,15.530000,15.586000,10.650889,8079548
2018-06-05,15.512000,15.760000,15.316000,15.452000,10.559318,11620358
2018-06-06,15.482000,15.632000,15.254000,15.450000,10.557951,11207551
2018-06-07,15.474000,15.710000,15.458000,15.630000,10.680958,9289540
2018-06-08,15.500000,15.596000,15.172000,15.224000,10.403512,13528010
2018-06-11,15.376000,15.684000,15.372000,15.630000,10.680958,10208893
2018-06-12,15.742000,15.792000,15.604000,15.668000,10.706926,10915489
2018-06-13,15.634000,15.712000,15.482000,15.512000,10.600321,10426728
2018-06-14,15.500000,15.814000,15.406000,15.814000,10.806696,19524909
2018-06-15,15.824000,15.830000,15.450000,15.450000,10.557951,17654687
2018-06-18,15.350000,15.548000,15.284000,15.532000,10.613986,10312849
2018-06-19,15.402000,15.540000,15.324000,15.540000,10.619452,10639472
2018-06-20,15.630000,15.720000,15.434000,15.434000,10.547018,10554514
2018-06-21,15.468000,15.528000,15.102000,15.162000,10.361144,10656065
2018-06-22,15.248000,15.664000,15.138000,15.636000,10.685057,13468457
2018-06-25,15.522000,15.572000,15.276000,15.282000,10.443148,8548471
2018-06-26,15.364000,15.476000,15.286000,15.432000,10.545651,10200174
2018-06-27,15.528000,15.996000,15.466000,15.858000,10.836763,16852544
2018-06-28,15.880000,15.990000,15.764000,15.910000,10.872300,10977574
2018-06-29,15.972000,16.059999,15.844000,15.906000,10.869566,10215830
2018-07-02,15.800000,15.926000,15.660000,15.774000,10.779361,9655478
2018-07-03,15.850000,16.298000,15.810000,16.156000,11.040406,14781542
2018-07-04,16.209999,16.304001,16.129999,16.146000,11.033573,6207841
2018-07-05,16.198000,16.406000,16.146000,16.216000,11.081407,10026817
2018-07-06,16.246000,16.275999,16.025999,16.180000,11.056806,9410358
2018-07-09,16.278000,16.354000,16.191999,16.316000,11.149744,7011183
2018-07-10,16.379999,16.628000,16.370001,16.530001,11.295983,13408030
2018-07-11,16.450001,16.480000,16.200001,16.252001,11.106009,10606605
2018-07-12,16.252001,16.350000,16.142000,16.260000,11.111476,12322360
2018-07-13,16.341999,16.358000,16.101999,16.280001,11.125144,9155614
2018-07-16,16.299999,16.426001,15.984000,16.054001,10.970703,9809934
2018-07-17,16.020000,16.142000,15.928000,16.138000,11.028106,8475189
2018-07-18,16.112000,16.246000,16.004000,16.136000,11.026739,7892898
2018-07-19,16.219999,16.260000,16.035999,16.080000,10.988468,10672674
2018-07-20,15.988000,16.184000,15.960000,16.086000,10.992568,10070901
2018-07-23,16.070000,16.194000,16.054001,16.129999,11.022637,5608124
2018-07-24,16.142000,16.308001,16.034000,16.238001,11.096442,7826591
2018-07-25,16.242001,16.299999,16.106001,16.228001,11.089609,7268386
2018-07-26,16.266001,16.348000,16.216000,16.309999,11.145643,8183235
2018-07-27,16.299999,16.332001,16.086000,16.200001,11.070476,11478222
2018-07-30,16.224001,16.368000,16.162001,16.285999,11.129242,8631814
2018-07-31,16.282000,16.497999,16.266001,16.464001,11.250883,11097625
2018-08-01,16.464001,16.490000,16.285999,16.341999,11.167511,9714930
2018-08-02,16.318001,16.372000,16.114000,16.204000,11.073209,11319907
2018-08-03,16.209999,16.246000,16.042000,16.204000,11.073209,8675937
2018-08-06,16.190001,16.292000,16.091999,16.292000,11.133345,6757097
2018-08-07,16.296000,16.622000,16.292000,16.610001,11.350653,11302249
2018-08-08,16.596001,16.714001,16.455999,16.500000,11.275483,7707648
2018-08-09,16.483999,16.500000,16.320000,16.386000,11.197578,8124622
2018-08-10,16.280001,16.294001,15.902000,15.956000,10.903734,12047861
2018-08-13,15.948000,16.066000,15.908000,15.958000,10.905101,6152570
2018-08-14,16.020000,16.167999,15.976000,16.114000,11.011703,8417759
2018-08-16,15.932000,16.066000,15.810000,15.912000,10.873666,10169712
2018-08-17,15.908000,15.954000,15.720000,15.824000,10.813529,8177533
2018-08-20,15.850000,16.094000,15.816000,16.011999,10.941999,6468176
2018-08-21,15.962000,16.261999,15.960000,16.174000,11.052706,5204235
2018-08-22,16.112000,16.340000,16.087999,16.320000,11.152477,6189247
2018-08-23,16.284000,16.388000,16.177999,16.233999,11.093707,5439340
2018-08-24,16.233999,16.438000,16.214001,16.400000,11.207146,6161436
2018-08-27,16.440001,16.455999,16.274000,16.431999,11.229012,4127713
2018-08-28,16.403999,16.422001,16.261999,16.316000,11.149744,6537846
2018-08-29,16.348000,16.403999,16.257999,16.403999,11.209881,7407147
2018-08-30,16.350000,16.420000,16.129999,16.200001,11.070476,7545386
2018-08-31,16.209999,16.230000,15.934000,15.980000,10.920135,10240756
2018-09-03,15.974000,16.139999,15.960000,16.084000,10.991204,5196310
2018-09-04,16.120001,16.226000,16.042000,16.124001,11.018538,8589590
2018-09-05,16.148001,16.246000,15.960000,15.960000,10.906467,12408242
2018-09-06,15.972000,16.040001,15.804000,15.826000,10.814898,8329001
2018-09-07,15.838000,15.882000,15.588000,15.726000,10.746559,7380065
2018-09-10,15.724000,15.932000,15.702000,15.850000,10.831298,8036548
2018-09-11,15.856000,15.910000,15.688000,15.880000,10.851798,8957325
2018-09-12,15.920000,16.166000,15.916000,16.018000,10.946101,10272453
2018-09-13,16.018000,16.115999,15.948000,15.988000,10.925600,7435365
2018-09-14,16.070000,16.080000,15.930000,15.986000,10.924234,6056634
2018-09-17,15.932000,16.228001,15.924000,16.132000,11.024004,7955503
2018-09-18,16.152000,16.243999,16.073999,16.180000,11.056806,7444428
2018-09-19,16.240000,16.240000,16.048000,16.228001,11.089609,8640903
2018-09-20,16.181999,16.340000,16.120001,16.337999,11.164777,13443701
2018-09-21,16.382000,16.482000,16.306000,16.309999,11.145643,24169306
2018-09-24,16.180000,16.280001,16.084000,16.156000,11.332224,10899587
2018-09-25,16.080000,16.576000,16.080000,16.548000,11.607182,17968978
2018-09-26,16.548000,16.664000,16.452000,16.596001,11.640851,10816125
2018-09-27,16.610001,16.610001,16.464001,16.532000,11.595957,10340099
2018-09-28,16.430000,16.462000,16.049999,16.282000,11.420602,15337912
2018-10-01,16.285999,16.455999,16.274000,16.320000,11.447256,10186966
2018-10-02,16.316000,16.445999,16.158001,16.341999,11.462687,9792664
2018-10-03,16.448000,16.478001,16.290001,16.375999,11.486535,7811750
2018-10-04,16.313999,16.431999,16.274000,16.278000,11.417797,8391570
2018-10-05,16.430000,16.667999,16.254000,16.268000,11.410782,17773402
2018-10-08,16.191999,16.200001,15.782000,15.846000,11.114780,14768380
2018-10-09,15.998000,16.372000,15.950000,16.261999,11.406572,17281079
2018-10-10,16.226000,16.420000,16.098000,16.153999,11.330818,11918209
2018-10-11,15.990000,16.049999,15.692000,15.710000,11.019388,16427490
2018-10-12,15.880000,15.910000,15.620000,15.620000,10.956258,9311266
2018-10-15,15.640000,15.872000,15.634000,15.762000,11.055861,8458821
2018-10-16,15.748000,15.872000,15.614000,15.832000,11.104962,10369075
2018-10-17,15.968000,15.970000,15.516000,15.584000,10.931007,10868055
2018-10-18,15.560000,15.730000,15.292000,15.292000,10.726192,16119298
2018-10-19,15.300000,15.558000,15.230000,15.390000,10.794930,17117136
2018-10-22,15.614000,15.622000,15.164000,15.174000,10.643425,9631717
2018-10-23,15.090000,15.170000,14.866000,14.950000,10.486303,13097187
2018-10-24,14.934000,15.066000,14.712000,14.722000,10.326380,11184164
2018-10-25,14.716000,14.974000,14.600000,14.974000,10.503138,12530608
2018-10-26,15.190000,15.364000,14.760000,15.134000,10.615366,22655608
2018-10-29,15.304000,15.496000,15.204000,15.362000,10.775292,13525601
2018-10-30,15.378000,15.498000,15.206000,15.386000,10.792126,11496936
2018-10-31,15.506000,15.838000,15.444000,15.706000,11.016582,15026354
2018-11-01,15.654000,15.664000,15.342000,15.426000,10.820182,12191497
2018-11-02,15.448000,15.544000,15.276000,15.360000,10.773889,12688920
2018-11-05,15.304000,15.608000,15.276000,15.452000,10.838418,9335996
2018-11-06,15.518000,15.522000,15.282000,15.338000,10.758457,9053566
2018-11-07,15.354000,15.740000,15.354000,15.634000,10.966079,11860191
2018-11-08,15.720000,15.720000,15.510000,15.574000,10.923994,8280885
2018-11-09,15.482000,15.482000,15.230000,15.456000,10.841226,10262210
2018-11-12,15.588000,15.700000,15.488000,15.488000,10.863670,8908314
2018-11-13,15.432000,15.440000,15.024000,15.148000,10.625185,15020750
2018-11-14,14.900000,15.016000,14.636000,14.926000,10.469470,17666907
2018-11-15,15.010000,15.070000,14.800000,14.976000,10.504542,10221309
2018-11-16,15.110000,15.156000,14.856000,14.900000,10.451233,11306235
2018-11-19,15.026000,15.036000,14.718000,14.720000,10.324978,9473162
2018-11-20,14.718000,14.830000,14.424000,14.452000,10.136993,12040867
2018-11-21,14.460000,14.670000,14.380000,14.628000,10.260446,11548869
2018-11-22,14.582000,14.612000,14.316000,14.316000,10.041600,9168193
2018-11-23,14.280000,14.366000,13.900000,14.060000,9.862037,15627788
2018-11-26,14.220000,14.328000,14.174000,14.296000,10.027573,13339524
2018-11-27,14.270000,14.308000,14.104000,14.194000,9.956026,10338031
2018-11-28,14.270000,14.332000,14.130000,14.154000,9.927972,9227586
2018-11-29,14.178000,14.386000,14.064000,14.216000,9.971458,15139899
2018-11-30,14.300000,14.336000,14.202000,14.246000,9.992500,12703097
2018-12-03,14.650000,14.698000,14.438000,14.512000,10.179078,16084694
2018-12-04,14.558000,14.636000,14.414000,14.414000,10.110340,11553589
2018-12-05,14.260000,14.336000,14.178000,14.290000,10.023364,13261260
2018-12-06,14.172000,14.350000,13.814000,13.834000,9.703514,17771863
2018-12-07,13.938000,14.352000,13.870000,14.114000,9.899913,16737974
2018-12-10,13.980000,14.128000,13.870000,13.940000,9.777864,11370305
2018-12-11,13.996000,14.220000,13.918000,14.066000,9.866243,10085145
2018-12-12,14.100000,14.320000,14.098000,14.236000,9.985488,12258058
2018-12-13,14.222000,14.278000,14.052000,14.262000,10.003723,11732625
2018-12-14,14.166000,14.246000,14.104000,14.148000,9.923762,10601154
2018-12-17,14.136000,14.164000,13.886000,13.960000,9.791894,11929241
2018-12-18,13.872000,13.982000,13.814000,13.814000,9.689485,14899015
2018-12-19,13.790000,13.994000,13.790000,13.950000,9.784880,11799570
2018-12-20,13.840000,13.876000,13.644000,13.826000,9.697902,22048543
2018-12-21,13.708000,13.774000,13.610000,13.774000,9.661428,22109964
2018-12-27,13.834000,13.886000,13.420000,13.520000,9.483267,12908623
2018-12-28,13.650000,13.806000,13.624000,13.748000,9.643192,10187383
2019-01-02,13.680000,13.906000,13.474000,13.780000,9.665636,13378630
2019-01-03,13.664000,14.000000,13.650000,13.840000,9.707722,11558441
2019-01-04,13.992000,14.370000,13.984000,14.340000,10.058435,16275128
2019-01-07,14.420000,14.440000,14.142000,14.214000,9.970057,9920393
2019-01-08,14.208000,14.364000,14.126000,14.126000,9.908330,10760114
2019-01-09,14.326000,14.336000,14.210000,14.256000,9.999515,12242740
2019-01-10,14.226000,14.270000,14.116000,14.242000,9.989695,8491522
2019-01-11,14.340000,14.370000,14.092000,14.170000,9.939193,10111198
2019-01-14,14.104000,14.188000,13.912000,14.120000,9.904121,10378763
2019-01-15,14.248000,14.314000,14.118000,14.250000,9.995306,10268873
2019-01-16,14.290000,14.338000,14.178000,14.280000,10.016349,8947440
2019-01-17,14.212000,14.318000,14.180000,14.218000,9.972862,8570072
2019-01-18,14.368000,14.680000,14.304000,14.608000,10.246417,16478518
2019-01-21,14.642000,14.642000,14.488000,14.546000,10.202929,5907021
2019-01-22,14.456000,14.534000,14.402000,14.476000,10.153828,7528674
2019-01-23,14.472000,14.550000,14.316000,14.316000,10.041600,8707656
2019-01-24,14.328000,14.416000,14.220000,14.416000,10.111743,10195447
2019-01-25,14.424000,14.588000,14.416000,14.572000,10.221164,9529847
2019-01-28,14.594000,14.624000,14.396000,14.432000,10.122966,9477124
2019-01-29,14.440000,14.596000,14.376000,14.522000,10.186096,10229634
