Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,78.550003,80.290001,77.879997,78.290001,78.290001,44266000
2023-03-02,77.570000,80.919998,76.650002,80.440002,80.440002,60108600
2023-03-03,80.400002,81.629997,79.339996,81.519997,81.519997,54536200
2023-03-06,82.029999,83.300003,81.040001,81.160004,81.160004,54541300
2023-03-07,81.070000,84.849998,80.669998,82.110001,82.110001,70959000
2023-03-08,82.790001,85.769997,82.279999,85.370003,85.370003,69529800
2023-03-09,85.290001,87.809998,83.589996,84.029999,84.029999,79496700
2023-03-10,84.470001,85.449997,81.629997,82.669998,82.669998,70273600
2023-03-13,81.389999,83.830002,78.519997,82.010002,82.010002,65269100
2023-03-14,83.669998,88.300003,83.589996,87.449997,87.449997,66616300
2023-03-15,86.769997,90.419998,86.220001,89.680000,89.680000,86177400
2023-03-16,89.720001,96.690002,89.019997,96.599998,96.599998,115839200
2023-03-17,96.660004,98.750000,95.940002,97.839996,97.839996,94080800
2023-03-20,96.300003,96.940002,92.900002,96.809998,96.809998,92008900
2023-03-21,97.000000,99.459999,93.639999,95.930000,95.930000,85285300
2023-03-22,95.650002,101.699997,95.639999,97.580002,97.580002,110816300
2023-03-23,100.050003,102.430000,98.669998,100.279999,100.279999,84088900
2023-03-24,99.180000,99.519997,96.739998,97.949997,97.949997,64712400
2023-03-27,98.019997,98.930000,95.430000,96.610001,96.610001,57461400
2023-03-28,96.769997,96.940002,92.870003,94.559998,94.559998,59150100
2023-03-29,96.070000,96.910004,94.870003,96.089996,96.089996,55326000
2023-03-30,98.000000,99.529999,97.250000,97.879997,97.879997,59678500
